path_key,scenario_label,weather,scenario_key,hole_size_mm,temperature_degC,pressure_barg,orifice_mm,material_id,Release_rate,Velocity,Release_temperature,Liquid_mass_fraction,Droplet_diameter,Expanded_diameter,Release_duration,Distance_to_LFL,Distance_to_LFL_fraction,Distance_to_UFL,Flash_fire_mass,Flame_length,Flame_emissive_power,Jet_fire_distance_level1,Jet_fire_distance_level2,Jet_fire_distance_level3,Pool_diameter,Explosion_distance_level1,Explosion_distance_level2,Explosion_distance_level3,wind_speed_ms,stability_class,stability_index,case_id,vessel_id,vessel_name,leak_name,material,elevation_m,mass_inventory_kg,mat_critical_pressure_bara,mat_critical_temperature_K,mat_lfl_vol_frac,mat_molecular_weight,mat_normal_boiling_point_K
Study\PV00122,PV00122_L01,Category 1.5/D,PV00122,2.83287,142.54014229367635,2.115587950737089,2.8328743999953545,PROPANE,0.00372166,400.289,103.41,0.0,0.0,0.00286902,3600.0,,,,1.40031e-05,1.00238,7.62709,,,,,,,,1.5,D,4.0,1211,122,PV00122,PV00122_L01,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L01,Category 1.5/F,PV00122,2.83287,142.54014229367635,2.115587950737089,2.8328743999953545,PROPANE,0.00372166,400.289,103.41,0.0,0.0,0.00286902,3600.0,,,,1.64853e-05,1.00238,7.62709,,,,,,,,1.5,F,6.0,1211,122,PV00122,PV00122_L01,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L01,Category 5/D,PV00122,2.83287,142.54014229367635,2.115587950737089,2.8328743999953545,PROPANE,0.00372166,400.289,103.41,0.0,0.0,0.00286902,3600.0,,,,1.14126e-05,1.00218,6.43629,,,,,,,,5.0,D,4.0,1211,122,PV00122,PV00122_L01,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L02,Category 1.5/D,PV00122,7.52329,142.54014229367635,2.115587950737089,7.523290026783646,PROPANE,0.0262481,400.289,103.41,0.0,0.0,0.00761928,3600.0,,,,0.000380127,2.37412,23.3844,,,,,,,,1.5,D,4.0,1212,122,PV00122,PV00122_L02,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L02,Category 1.5/F,PV00122,7.52329,142.54014229367635,2.115587950737089,7.523290026783646,PROPANE,0.0262481,400.289,103.41,0.0,0.0,0.00761928,3600.0,,,,0.00043292,2.37412,23.3844,,,,,,,,1.5,F,6.0,1212,122,PV00122,PV00122_L02,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L02,Category 5/D,PV00122,7.52329,142.54014229367635,2.115587950737089,7.523290026783646,PROPANE,0.0262481,400.289,103.41,0.0,0.0,0.00761928,3600.0,,,,0.000316605,2.37203,21.9474,,,,,,,,5.0,D,4.0,1212,122,PV00122,PV00122_L02,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L03,Category 1.5/D,PV00122,464.032,142.54014229367635,2.115587950737089,464.0318694377319,PROPANE,99.8568,400.289,103.41,0.0,0.0,0.469953,1001.43,108.984,183.694,,222.953,76.4775,332.765,165.421,117.224,86.6374,,485.259,271.555,258.654,1.5,D,4.0,1213,122,PV00122,PV00122_L03,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L03,Category 1.5/F,PV00122,464.032,142.54014229367635,2.115587950737089,464.0318694377319,PROPANE,99.8568,400.289,103.41,0.0,0.0,0.469953,1001.43,99.6138,170.692,,217.953,76.4775,332.765,165.421,117.224,86.6374,,443.396,231.193,218.382,1.5,F,6.0,1213,122,PV00122,PV00122_L03,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L03,Category 5/D,PV00122,464.032,142.54014229367635,2.115587950737089,464.0318694377319,PROPANE,99.8568,400.289,103.41,0.0,0.0,0.469953,1001.43,115.237,202.3,,214.071,81.9337,345.399,162.124,121.284,94.5013,,491.463,280.817,268.101,5.0,D,4.0,1213,122,PV00122,PV00122_L03,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L04,Category 1.5/D,PV00122,227.593,142.54014229367635,2.115587950737089,227.59286271371096,PROPANE,24.0214,400.289,103.41,0.0,0.0,0.230497,3600.0,45.901,98.2245,,20.4924,44.8927,277.474,85.4152,63.302,47.8148,,219.59,123.243,117.427,1.5,D,4.0,1214,122,PV00122,PV00122_L04,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L04,Category 1.5/F,PV00122,227.593,142.54014229367635,2.115587950737089,227.59286271371096,PROPANE,24.0214,400.289,103.41,0.0,0.0,0.230497,3600.0,44.3747,89.3685,,20.8626,44.8927,277.474,85.4152,63.302,47.8148,,210.503,113.421,107.56,1.5,F,6.0,1214,122,PV00122,PV00122_L04,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L04,Category 5/D,PV00122,227.593,142.54014229367635,2.115587950737089,227.59286271371096,PROPANE,24.0214,400.289,103.41,0.0,0.0,0.230497,3600.0,45.6178,104.468,,18.8033,48.8865,267.928,84.7872,66.2323,53.2378,,226.253,132.595,126.941,5.0,D,4.0,1214,122,PV00122,PV00122_L04,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L05,Category 1.5/D,PV00122,6.13555,142.54014229367635,2.115587950737089,6.135553805082452,PROPANE,0.0174578,400.289,103.41,0.0,0.0,0.00621384,3600.0,,,,0.000197375,1.98556,18.5622,,,,,,,,1.5,D,4.0,1215,122,PV00122,PV00122_L05,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L05,Category 1.5/F,PV00122,6.13555,142.54014229367635,2.115587950737089,6.135553805082452,PROPANE,0.0174578,400.289,103.41,0.0,0.0,0.00621384,3600.0,,,,0.000225396,1.98556,18.5622,,,,,,,,1.5,F,6.0,1215,122,PV00122,PV00122_L05,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L05,Category 5/D,PV00122,6.13555,142.54014229367635,2.115587950737089,6.135553805082452,PROPANE,0.0174578,400.289,103.41,0.0,0.0,0.00621384,3600.0,,,,0.000165707,1.98424,17.148,,,,,,,,5.0,D,4.0,1215,122,PV00122,PV00122_L05,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L06,Category 1.5/D,PV00122,32.8005,142.54014229367635,2.115587950737089,32.80047207588725,PROPANE,0.498933,400.289,103.41,0.0,0.0,0.033219,3600.0,,,,0.0329502,8.69332,105.079,11.4606,8.75505,,,,,,1.5,D,4.0,1216,122,PV00122,PV00122_L06,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L06,Category 1.5/F,PV00122,32.8005,142.54014229367635,2.115587950737089,32.80047207588725,PROPANE,0.498933,400.289,103.41,0.0,0.0,0.033219,3600.0,,,,0.0367764,8.69332,105.079,11.4606,8.75505,,,,,,1.5,F,6.0,1216,122,PV00122,PV00122_L06,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
Study\PV00122,PV00122_L06,Category 5/D,PV00122,32.8005,142.54014229367635,2.115587950737089,32.80047207588725,PROPANE,0.498933,400.289,103.41,0.0,0.0,0.033219,3600.0,,,,0.0267826,9.11215,100.48,11.4335,9.10139,,,,,,5.0,D,4.0,1216,122,PV00122,PV00122_L06,PROPANE,1.0,100000.0,42.5,369.8,,44.1,231.1
